method,metric,support,itemsets_count,rules_count,time_elapsed
apriori,lift,0.1,2,0,2.2330498695373535
apriori,lift,0.08,3,0,1.3947703838348389
apriori,confidence,0.1,2,0,1.2719051837921143
apriori,confidence,0.08,3,0,1.1824159622192383
apriori,conviction,0.1,2,0,1.2368831634521484
apriori,conviction,0.08,3,0,1.2238028049468994
apriori,leverage,0.1,2,0,1.2367913722991943
apriori,leverage,0.08,3,0,1.129950761795044
apriori,support,0.1,2,0,1.1705689430236816
apriori,support,0.08,3,0,1.3106615543365479
fpmax,lift,0.1,2,0,12.98287558555603
fpmax,lift,0.08,3,0,13.325082540512085
fpmax,confidence,0.1,2,0,13.029135704040527
fpmax,confidence,0.08,3,0,12.97853422164917
fpmax,conviction,0.1,2,0,12.116182804107666
fpmax,conviction,0.08,3,0,12.812365293502808
fpmax,leverage,0.1,2,0,13.229960203170776
fpmax,leverage,0.08,3,0,13.477612018585205
fpmax,support,0.1,2,0,14.343321323394775
fpmax,support,0.08,3,0,14.366825342178345
fpgrowth,lift,0.1,2,0,14.085432767868042
fpgrowth,lift,0.08,3,0,14.206804275512695
fpgrowth,confidence,0.1,2,0,14.58212423324585
fpgrowth,confidence,0.08,3,0,12.863613843917847
fpgrowth,conviction,0.1,2,0,13.776463747024536
fpgrowth,conviction,0.08,3,0,13.636988162994385
fpgrowth,leverage,0.1,2,0,12.128702163696289
fpgrowth,leverage,0.08,3,0,12.13653039932251
fpgrowth,support,0.1,2,0,11.81026029586792
fpgrowth,support,0.08,3,0,11.796799182891846
eclat,lift,0.1,2,0,46.25540256500244
eclat,lift,0.08,3,0,44.46034026145935
eclat,confidence,0.1,2,0,46.378976821899414
eclat,confidence,0.08,3,0,47.09818696975708
eclat,conviction,0.1,2,0,46.41785717010498
eclat,conviction,0.08,3,0,47.78020358085632
eclat,leverage,0.1,2,0,43.71015930175781
eclat,leverage,0.08,3,0,42.606425046920776
eclat,support,0.1,2,0,46.04143834114075
eclat,support,0.08,3,0,45.138707876205444
