method,support,itemsets,rules,time
apriori,0.01,102,0,325.2742838859558
apriori,0.05,6,0,2.5437583923339844
apriori,0.01,102,0,302.57452034950256
apriori,0.02,39,0,16.361674785614014
apriori,0.03,16,0,3.1066083908081055
apriori,0.04,11,0,2.0272879600524902
apriori,0.05,6,0,1.3297901153564453
apriori,0.06,5,0,1.2364540100097656
apriori,0.07,4,0,1.1974685192108154
apriori,0.08,3,0,1.1008694171905518
apriori,0.09,2,0,1.1305510997772217
apriori,0.1,2,0,1.129737138748169
fpmax,0.01,106,0,40.52268958091736
fpmax,0.05,6,0,13.068423748016357
fpmax,0.01,106,0,27.893895387649536
fpmax,0.02,39,0,19.324058294296265
fpmax,0.03,16,0,14.101247072219849
fpmax,0.04,11,0,13.358355283737183
fpmax,0.05,6,0,12.863798141479492
fpmax,0.06,5,0,13.02932333946228
fpmax,0.07,4,0,12.614726305007935
fpmax,0.08,3,0,12.325915813446045
fpmax,0.09,2,0,12.10227632522583
fpmax,0.1,2,0,12.07066297531128
fpgrowth,0.01,116,0,27.318739414215088
fpgrowth,0.05,6,0,12.782275438308716
fpgrowth,0.01,116,0,29.373236894607544
fpgrowth,0.02,39,0,19.356436729431152
fpgrowth,0.03,16,0,13.88990592956543
fpgrowth,0.04,11,0,13.301623106002808
fpgrowth,0.05,6,0,12.659144401550293
fpgrowth,0.06,5,0,12.70050048828125
fpgrowth,0.07,4,0,12.485719203948975
fpgrowth,0.08,3,0,12.392547130584717
fpgrowth,0.09,2,0,11.95792841911316
fpgrowth,0.1,2,0,11.97858190536499
eclat,0.01,116,0,73.41542434692383
eclat,0.05,6,0,49.00407266616821
eclat,0.01,116,0,75.77416014671326
eclat,0.02,39,0,55.28725457191467
eclat,0.03,16,0,49.017240047454834
eclat,0.04,11,0,47.7603542804718
eclat,0.05,6,0,46.98783349990845
eclat,0.06,5,0,46.44398379325867
eclat,0.07,4,0,46.25820231437683
eclat,0.08,3,0,44.49627065658569
eclat,0.09,2,0,48.32535219192505
eclat,0.1,2,0,46.403125047683716
