support,itemsets
0.015986629647071704,"frozenset({'Banana', 'Organic Baby Spinach'})"
0.011861740149069606,"frozenset({'Organic Baby Spinach', 'Organic Strawberries'})"
0.01566842121961856,"frozenset({'Organic Baby Spinach', 'Bag of Organic Bananas'})"
0.019391428715402222,"frozenset({'Organic Hass Avocado', 'Bag of Organic Bananas'})"
0.010856101980979659,"frozenset({'Organic Hass Avocado', 'Organic Baby Spinach'})"
0.012689144271284038,"frozenset({'Organic Hass Avocado', 'Organic Strawberries'})"
0.012598627504530504,"frozenset({'Bag of Organic Bananas', 'Organic Raspberries'})"
0.01053322774080726,"frozenset({'Organic Strawberries', 'Organic Raspberries'})"
0.017467558604163026,"frozenset({'Banana', 'Organic Strawberries'})"
0.019169647084147,"frozenset({'Organic Strawberries', 'Bag of Organic Bananas'})"
0.016608738009638947,"frozenset({'Organic Avocado', 'Banana'})"
0.01271589493087443,"frozenset({'Large Lemon', 'Banana'})"
0.01055811207530995,"frozenset({'Organic Fuji Apple', 'Banana'})"
0.012825386002686264,"frozenset({'Strawberries', 'Banana'})"
