antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Banana'}),frozenset({'Organic Baby Spinach'}),0.1469933191782944,0.07525053859031489,0.015986629647071704,0.10875752541978352,1.4452723855159377,0.004925303209726988,1.0375958145904691,0.36117994280836263
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.07525053859031489,0.1469933191782944,0.015986629647071704,0.21244538506371916,1.4452723855159375,0.004925303209726988,1.0831079707287605,0.3331593226609563
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Strawberries'}),0.07525053859031489,0.08233075386469267,0.011861740149069606,0.15762997011421087,1.9145940333944893,0.005666306578204834,1.089389714232506,0.51656809078031
frozenset({'Organic Strawberries'}),frozenset({'Organic Baby Spinach'}),0.08233075386469267,0.07525053859031489,0.011861740149069606,0.14407423219473864,1.9145940333944893,0.005666306578204834,1.0804084842321073,0.5205536370999692
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.07525053859031489,0.11802950908807001,0.01566842121961856,0.20821673190835027,1.7641074127740828,0.006786637091190827,1.1139039260549783,0.46838750492116465
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.11802950908807001,0.07525053859031489,0.01566842121961856,0.13275003294241666,1.7641074127740828,0.006786637091190827,1.066300947288804,0.4911061054423928
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.06643619625528092,0.11802950908807001,0.019391428715402222,0.29188047793842237,2.4729449456629533,0.01154999708571274,1.245510769628569,0.6380108461095004
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.11802950908807001,0.06643619625528092,0.019391428715402222,0.164293055738569,2.4729449456629538,0.01154999708571274,1.1170947066495547,0.6753330621169823
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Baby Spinach'}),0.06643619625528092,0.07525053859031489,0.010856101980979659,0.16340643493894672,2.1714985434001655,0.005856742430877908,1.1053748200205178,0.5778807206728409
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Hass Avocado'}),0.07525053859031489,0.06643619625528092,0.010856101980979659,0.14426610339739007,2.171498543400166,0.005856742430877908,1.0909510625336982,0.5833888487803846
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Strawberries'}),0.06643619625528092,0.08233075386469267,0.012689144271284038,0.19099745299273355,2.319879802225913,0.007219402149684087,1.134321825722342,0.6094314948486125
frozenset({'Organic Strawberries'}),frozenset({'Organic Hass Avocado'}),0.08233075386469267,0.06643619625528092,0.012689144271284038,0.15412398982934303,2.3198798022259126,0.007219402149684087,1.1036650673617885,0.6199871978370866
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Raspberries'}),0.11802950908807001,0.04263215292418925,0.012598627504530504,0.10674133614441955,2.5037754094716407,0.0075667754235209175,1.0717700099806649,0.6809787411732352
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.04263215292418925,0.11802950908807001,0.012598627504530504,0.2955193824467192,2.5037754094716407,0.0075667754235209175,1.251944296175367,0.6273483661349519
frozenset({'Organic Strawberries'}),frozenset({'Organic Raspberries'}),0.08233075386469267,0.04263215292418925,0.01053322774080726,0.12793794841376288,3.0009732007029744,0.007023290451683897,1.0978207861864953,0.7265959579870962
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.04263215292418925,0.08233075386469267,0.01053322774080726,0.24707238594161554,3.0009732007029744,0.007023290451683897,1.2188014212799854,0.6964666371944496
frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.1469933191782944,0.08233075386469267,0.017467558604163026,0.11883232994402887,1.443352870779309,0.005365487823140662,1.0414240981821514,0.36010120278326385
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.08233075386469267,0.1469933191782944,0.017467558604163026,0.2121632292213705,1.443352870779309,0.005365487823140662,1.0827200664658845,0.33472706319806733
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.08233075386469267,0.11802950908807001,0.019169647084147,0.23283701635541385,1.9727017264951765,0.009452188622646601,1.149652042284319,0.5373188599593186
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.11802950908807001,0.08233075386469267,0.019169647084147,0.16241402029252866,1.9727017264951765,0.009452188622646601,1.0956119949092333,0.5590674498001857
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.05499904506366346,0.1469933191782944,0.016608738009638947,0.301982297881967,2.054394713787502,0.008524245824094468,1.2220416161844911,0.5431091050376651
frozenset({'Banana'}),frozenset({'Organic Avocado'}),0.1469933191782944,0.05499904506366346,0.016608738009638947,0.11298974744215082,2.054394713787502,0.008524245824094468,1.0653777137426101,0.6016818325511909
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.047484598152213744,0.1469933191782944,0.01271589493087443,0.26778988189208486,1.8217826727708029,0.005735976238633027,1.1649752710682797,0.4735746053640516
frozenset({'Banana'}),frozenset({'Large Lemon'}),0.1469933191782944,0.047484598152213744,0.01271589493087443,0.08650661813718748,1.8217826727708029,0.005735976238633027,1.0427173537977903,0.5288201319815127
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.027880408376813524,0.1469933191782944,0.01055811207530995,0.37869287754373443,2.576259109330009,0.006459878307955808,1.3729227462409295,0.629387876666903
frozenset({'Banana'}),frozenset({'Organic Fuji Apple'}),0.1469933191782944,0.027880408376813524,0.01055811207530995,0.07182715605260652,2.5762591093300085,0.006459878307955808,1.0473475904432772,0.7172749046333675
frozenset({'Strawberries'}),frozenset({'Banana'}),0.04446550626867492,0.1469933191782944,0.012825386002686264,0.28843449853446285,1.9622286247214302,0.006289253647310482,1.1987746441681855,0.513194857952532
frozenset({'Banana'}),frozenset({'Strawberries'}),0.1469933191782944,0.04446550626867492,0.012825386002686264,0.08725148921312412,1.9622286247214302,0.006289253647310482,1.046875982199701,0.5748787199495446
